field_r         Z01	        Z02	        Z03	       Z04	       Z05	      Z06	        Z07	        Z08     	Z09	       Z10	        Z11
        0.230000        5.011908       -0.001106       -0.044168        2.827099        0.000286       -0.225903        0.027358       -0.000392       -0.016089       -0.000009       -0.027027
        0.235000        5.195621       -0.001105       -0.050967        2.933474        0.000292       -0.229680        0.026040       -0.000392       -0.017344       -0.000009       -0.026757
        0.240000        5.381837       -0.001104       -0.058098        3.041317        0.000299       -0.233004        0.024618       -0.000391       -0.018674       -0.000009       -0.026467
        0.245000        5.570465       -0.001103       -0.065563        3.150576        0.000305       -0.235845        0.023091       -0.000391       -0.020085       -0.000010       -0.026158
        0.250000        5.761409       -0.001102       -0.073363        3.261196        0.000312       -0.238167        0.021459       -0.000391       -0.021579       -0.000010       -0.025829
        0.255000        5.954572       -0.001102       -0.081498        3.373124        0.000318       -0.239937        0.019723       -0.000390       -0.023161       -0.000010       -0.025478
        0.260000        6.149855       -0.001101       -0.089969        3.486304        0.000325       -0.241122        0.017883       -0.000390       -0.024835       -0.000010       -0.025104
        0.265000        6.347157       -0.001100       -0.098775        3.600678        0.000331       -0.241685        0.015941       -0.000390       -0.026606       -0.000010       -0.024705
        0.270000        6.546375       -0.001099       -0.107916        3.716189        0.000338       -0.241591        0.013898       -0.000390       -0.028478       -0.000011       -0.024281
        0.275000        6.747404       -0.001098       -0.117388        3.832778        0.000344       -0.240804        0.011754       -0.000389       -0.030457       -0.000011       -0.023830
        0.280000        6.950136       -0.001097       -0.127190        3.950385        0.000351       -0.239288        0.009512       -0.000389       -0.032546       -0.000011       -0.023351
        0.285000        7.154463       -0.001096       -0.137320        4.068948        0.000358       -0.237006        0.007174       -0.000389       -0.034752       -0.000011       -0.022841
        0.290000        7.360274       -0.001095       -0.147773        4.188407        0.000364       -0.233921        0.004741       -0.000388       -0.037080       -0.000012       -0.022301
        0.295000        7.567455       -0.001094       -0.158544        4.308696        0.000371       -0.229995        0.002217       -0.000388       -0.039536       -0.000012       -0.021726
        0.300000        7.775892       -0.001093       -0.169629        4.429753        0.000377       -0.225190       -0.000397       -0.000388       -0.042126       -0.000012       -0.021117
        0.305000        7.985467       -0.001092       -0.181021        4.551512        0.000384       -0.219468       -0.003096       -0.000387       -0.044856       -0.000012       -0.020471
        0.310000        8.196062       -0.001091       -0.192714        4.673906        0.000391       -0.212791       -0.005877       -0.000387       -0.047733       -0.000012       -0.019786
        0.315000        8.407556       -0.001090       -0.204700        4.796869        0.000397       -0.205118       -0.008737       -0.000386       -0.050764       -0.000013       -0.019061
        0.320000        8.619826       -0.001089       -0.216969        4.920332        0.000404       -0.196412       -0.011670       -0.000386       -0.053957       -0.000013       -0.018292
        0.325000        8.832748       -0.001088       -0.229512        5.044226        0.000411       -0.186632       -0.014673       -0.000386       -0.057318       -0.000013       -0.017479
        0.330000        9.046194       -0.001087       -0.242319        5.168480        0.000418       -0.175740       -0.017741       -0.000385       -0.060856       -0.000014       -0.016618
        0.335000        9.260037       -0.001086       -0.255376        5.293024        0.000424       -0.163695       -0.020866       -0.000385       -0.064579       -0.000014       -0.015707
        0.340000        9.474147       -0.001085       -0.268671        5.417786        0.000431       -0.150457       -0.024044       -0.000384       -0.068495       -0.000014       -0.014743
        0.345000        9.688391       -0.001084       -0.282190        5.542691        0.000438       -0.135988       -0.027269       -0.000384       -0.072615       -0.000014       -0.013724
        0.350000        9.902635       -0.001082       -0.295917        5.667668        0.000445       -0.120245       -0.030532       -0.000384       -0.076946       -0.000015       -0.012648
        0.355000       10.116744       -0.001081       -0.309835        5.792639        0.000452       -0.103191       -0.033826       -0.000383       -0.081500       -0.000015       -0.011510
        0.360000       10.330580       -0.001080       -0.323926        5.917532        0.000459       -0.084784       -0.037144       -0.000383       -0.086287       -0.000015       -0.010309
        0.365000       10.544004       -0.001079       -0.338168        6.042267        0.000466       -0.064986       -0.040475       -0.000382       -0.091316       -0.000016       -0.009040
        0.370000       10.756875       -0.001078       -0.352543        6.166770        0.000472       -0.043755       -0.043812       -0.000382       -0.096601       -0.000016       -0.007701
        0.375000       10.969051       -0.001076       -0.367025        6.290961        0.000479       -0.021054       -0.047143       -0.000381       -0.102152       -0.000016       -0.006288
        0.380000       11.180387       -0.001075       -0.381590        6.414762        0.000486        0.003158       -0.050458       -0.000381       -0.107982       -0.000017       -0.004797
        0.385000       11.390739       -0.001074       -0.396211        6.538093        0.000493        0.028919       -0.053745       -0.000381       -0.114104       -0.000017       -0.003224
        0.390000       11.599958       -0.001072       -0.410861        6.660875        0.000500        0.056267       -0.056992       -0.000380       -0.120532       -0.000017       -0.001566
        0.395000       11.807896       -0.001071       -0.425508        6.783027        0.000507        0.085241       -0.060186       -0.000380       -0.127279       -0.000017        0.000183
        0.400000       12.014402       -0.001070       -0.440120        6.904467        0.000514        0.115878       -0.063312       -0.000379       -0.134361       -0.000018        0.002026
        0.405000       12.219326       -0.001068       -0.454662        7.025113        0.000521        0.148215       -0.066357       -0.000379       -0.141793       -0.000018        0.003968
        0.410000       12.422514       -0.001067       -0.469097        7.144885        0.000529        0.182288       -0.069303       -0.000378       -0.149591       -0.000019        0.006014
        0.415000       12.623812       -0.001065       -0.483385        7.263697        0.000536        0.218133       -0.072135       -0.000378       -0.157773       -0.000019        0.008169
        0.420000       12.823065       -0.001064       -0.497484        7.381469        0.000543        0.255783       -0.074834       -0.000377       -0.166356       -0.000019        0.010439
        0.425000       13.020116       -0.001063       -0.511349        7.498115        0.000550        0.295272       -0.077381       -0.000377       -0.175359       -0.000020        0.012830
        0.430000       13.214809       -0.001061       -0.524934        7.613553        0.000557        0.336634       -0.079756       -0.000376       -0.184801       -0.000020        0.015346
        0.435000       13.406983       -0.001060       -0.538186        7.727699        0.000564        0.379899       -0.081938       -0.000376       -0.194703       -0.000020        0.017995
        0.440000       13.596481       -0.001058       -0.551053        7.840468        0.000572        0.425097       -0.083904       -0.000375       -0.205086       -0.000021        0.020783
        0.445000       13.783142       -0.001056       -0.563478        7.951776        0.000579        0.472257       -0.085630       -0.000374       -0.215972       -0.000021        0.023717
        0.450000       13.966805       -0.001055       -0.575400        8.061540        0.000586        0.521405       -0.087091       -0.000374       -0.227385       -0.000021        0.026804
        0.455000       14.147309       -0.001053       -0.586755        8.169675        0.000593        0.572568       -0.088260       -0.000373       -0.239350       -0.000022        0.030052
        0.460000       14.324492       -0.001052       -0.597476        8.276097        0.000601        0.625769       -0.089108       -0.000373       -0.251892       -0.000022        0.033468
        0.465000       14.498192       -0.001050       -0.607491        8.380723        0.000608        0.681030       -0.089605       -0.000372       -0.265039       -0.000023        0.037061
        0.470000       14.668247       -0.001048       -0.616723        8.483471        0.000615        0.738369       -0.089720       -0.000372       -0.278818       -0.000023        0.040840
        0.475000       14.834495       -0.001047       -0.625093        8.584256        0.000623        0.797805       -0.089418       -0.000371       -0.293258       -0.000023        0.044813
        0.480000       14.996773       -0.001045       -0.632516        8.682998        0.000630        0.859351       -0.088665       -0.000370       -0.308392       -0.000024        0.048991
        0.485000       15.154920       -0.001043       -0.638901        8.779616        0.000638        0.923021       -0.087422       -0.000370       -0.324252       -0.000024        0.053384
        0.490000       15.308773       -0.001042       -0.644154        8.874028        0.000645        0.988823       -0.085650       -0.000369       -0.340871       -0.000025        0.058003
        0.495000       15.458173       -0.001040       -0.648175        8.966155        0.000653        1.056763       -0.083306       -0.000369       -0.358286       -0.000025        0.062858
        0.500000       15.602958       -0.001038       -0.650857        9.055920        0.000660        1.126844       -0.080347       -0.000368       -0.376534       -0.000026        0.067961
