field_r         Z01	        Z02	        Z03	       Z04	       Z05	      Z06	        Z07	        Z08     	Z09	       Z10	        Z11
        0.220000       -0.111714       -0.000752       -0.296749       -0.178299        0.000184       -0.281386       -0.063475       -0.000266       -0.014779       -0.000006       -0.063810
        0.225000       -0.108752       -0.000752       -0.308322       -0.176242        0.000188       -0.290042       -0.066486       -0.000266       -0.015963       -0.000006       -0.063513
        0.230000       -0.104738       -0.000751       -0.320175       -0.173556        0.000193       -0.298500       -0.069584       -0.000266       -0.017219       -0.000006       -0.063196
        0.235000       -0.099683       -0.000751       -0.332307       -0.170243        0.000197       -0.306733       -0.072768       -0.000266       -0.018551       -0.000007       -0.062860
        0.240000       -0.093601       -0.000751       -0.344720       -0.166313        0.000202       -0.314714       -0.076039       -0.000266       -0.019962       -0.000007       -0.062502
        0.245000       -0.086513       -0.000750       -0.357413       -0.161774        0.000206       -0.322415       -0.079395       -0.000266       -0.021457       -0.000007       -0.062122
        0.250000       -0.078440       -0.000750       -0.370384       -0.156639        0.000210       -0.329809       -0.082836       -0.000265       -0.023039       -0.000007       -0.061718
        0.255000       -0.069411       -0.000749       -0.383634       -0.150921        0.000215       -0.336868       -0.086360       -0.000265       -0.024713       -0.000007       -0.061290
        0.260000       -0.059457       -0.000749       -0.397159       -0.144638        0.000219       -0.343562       -0.089967       -0.000265       -0.026483       -0.000007       -0.060836
        0.265000       -0.048613       -0.000748       -0.410958       -0.137809        0.000224       -0.349862       -0.093654       -0.000265       -0.028353       -0.000007       -0.060355
        0.270000       -0.036919       -0.000748       -0.425028       -0.130453        0.000228       -0.355740       -0.097420       -0.000265       -0.030328       -0.000008       -0.059845
        0.275000       -0.024416       -0.000747       -0.439364       -0.122595        0.000233       -0.361164       -0.101262       -0.000265       -0.032413       -0.000008       -0.059305
        0.280000       -0.011152       -0.000747       -0.453962       -0.114258        0.000237       -0.366104       -0.105179       -0.000264       -0.034613       -0.000008       -0.058733
        0.285000        0.002823       -0.000746       -0.468818       -0.105471        0.000242       -0.370529       -0.109168       -0.000264       -0.036934       -0.000008       -0.058129
        0.290000        0.017456       -0.000746       -0.483926       -0.096262        0.000246       -0.374409       -0.113225       -0.000264       -0.039381       -0.000008       -0.057490
        0.295000        0.032689       -0.000745       -0.499279       -0.086663        0.000251       -0.377711       -0.117348       -0.000264       -0.041959       -0.000008       -0.056814
        0.300000        0.048460       -0.000745       -0.514869       -0.076705        0.000255       -0.380403       -0.121533       -0.000264       -0.044676       -0.000009       -0.056100
        0.305000        0.064708       -0.000744       -0.530689       -0.066425        0.000260       -0.382454       -0.125776       -0.000264       -0.047537       -0.000009       -0.055347
        0.310000        0.081362       -0.000744       -0.546730       -0.055858        0.000264       -0.383831       -0.130073       -0.000263       -0.050550       -0.000009       -0.054551
        0.315000        0.098354       -0.000743       -0.562981       -0.045042        0.000269       -0.384501       -0.134419       -0.000263       -0.053720       -0.000009       -0.053711
        0.320000        0.115609       -0.000743       -0.579432       -0.034019        0.000273       -0.384432       -0.138810       -0.000263       -0.057056       -0.000009       -0.052824
        0.325000        0.133050       -0.000742       -0.596071       -0.022829        0.000278       -0.383590       -0.143239       -0.000263       -0.060564       -0.000009       -0.051890
        0.330000        0.150597       -0.000742       -0.612884       -0.011515        0.000283       -0.381943       -0.147701       -0.000263       -0.064254       -0.000010       -0.050904
        0.335000        0.168168       -0.000741       -0.629858       -0.000124        0.000287       -0.379456       -0.152190       -0.000262       -0.068133       -0.000010       -0.049865
        0.340000        0.185675       -0.000740       -0.646977        0.011299        0.000292       -0.376097       -0.156698       -0.000262       -0.072209       -0.000010       -0.048771
        0.345000        0.203031       -0.000740       -0.664224        0.022707        0.000297       -0.371832       -0.161219       -0.000262       -0.076493       -0.000010       -0.047617
        0.350000        0.220144       -0.000739       -0.681582        0.034048        0.000301       -0.366628       -0.165745       -0.000262       -0.080992       -0.000010       -0.046403
        0.355000        0.236919       -0.000738       -0.699032        0.045273        0.000306       -0.360452       -0.170267       -0.000261       -0.085718       -0.000011       -0.045124
        0.360000        0.253260       -0.000738       -0.716553        0.056330        0.000311       -0.353270       -0.174776       -0.000261       -0.090680       -0.000011       -0.043778
        0.365000        0.269067       -0.000737       -0.734122        0.067164        0.000315       -0.345049       -0.179264       -0.000261       -0.095890       -0.000011       -0.042362
        0.370000        0.284238       -0.000736       -0.751717        0.077722        0.000320       -0.335756       -0.183718       -0.000261       -0.101358       -0.000011       -0.040871
        0.375000        0.298670       -0.000736       -0.769311        0.087946        0.000325       -0.325359       -0.188130       -0.000260       -0.107097       -0.000011       -0.039303
        0.380000        0.312254       -0.000735       -0.786879        0.097781        0.000330       -0.313826       -0.192486       -0.000260       -0.113118       -0.000012       -0.037654
        0.385000        0.324882       -0.000734       -0.804390        0.107167        0.000334       -0.301124       -0.196776       -0.000260       -0.119435       -0.000012       -0.035920
        0.390000        0.336444       -0.000733       -0.821814        0.116046        0.000339       -0.287222       -0.200986       -0.000260       -0.126060       -0.000012       -0.034097
        0.395000        0.346824       -0.000733       -0.839119        0.124357        0.000344       -0.272090       -0.205101       -0.000259       -0.133009       -0.000012       -0.032181
        0.400000        0.355909       -0.000732       -0.856269        0.132039        0.000349       -0.255696       -0.209108       -0.000259       -0.140295       -0.000013       -0.030167
        0.405000        0.363580       -0.000731       -0.873229        0.139030        0.000354       -0.238011       -0.212990       -0.000259       -0.147935       -0.000013       -0.028051
        0.410000        0.369719       -0.000730       -0.889957        0.145267        0.000359       -0.219005       -0.216732       -0.000259       -0.155943       -0.000013       -0.025827
        0.415000        0.374204       -0.000729       -0.906413        0.150687        0.000364       -0.198652       -0.220315       -0.000258       -0.164338       -0.000013       -0.023492
        0.420000        0.376914       -0.000729       -0.922553        0.155224        0.000368       -0.176922       -0.223721       -0.000258       -0.173136       -0.000014       -0.021038
        0.425000        0.377722       -0.000728       -0.938329        0.158814        0.000373       -0.153791       -0.226930       -0.000258       -0.182357       -0.000014       -0.018462
        0.430000        0.376505       -0.000727       -0.953692        0.161392        0.000378       -0.129233       -0.229922       -0.000257       -0.192018       -0.000014       -0.015756
